Q.No,Question,Options,Correct Answer
1,What is a semiconductor?,a: A material that conducts electricity very well.; b: A material with conductivity between a conductor and an insulator.; c: A material that completely blocks electrical current.; d: A type of metal used in electronics.,b
2,Which of the following is the most widely used semiconductor?,a: Germanium; b: Gallium Arsenide; c: Silicon; d: Copper,c
3,What happens to a pure semiconductor at absolute zero?,a: It conducts electricity very well.; b: It behaves like an insulator.; c: It becomes a superconductor.; d: It emits light.,b
4,What creates charge carriers in a semiconductor as temperature increases?,a: The addition of impurities.; b: Electrons gaining energy and jumping bands.; c: A decrease in resistance.; d: The application of a magnetic field.,b
5,What is doping in semiconductors?,a: Heating the semiconductor to a high temperature.; b: Adding small amounts of impurities to enhance conductivity.; c: Cooling the semiconductor to absolute zero.; d: Applying a strong electric field.,b
6,What type of semiconductor is created by adding a pentavalent impurity like phosphorus?,a: p-type; b: n-type; c: insulator; d: conductor,b
7,What are the majority carriers in a p-type semiconductor?,a: Electrons; b: Holes; c: Protons; d: Neutrons,b
8,What is a p–n junction?,a: The junction of two conductors.; b: The junction of p-type and n-type materials.; c: A type of insulator.; d: A special type of transistor.,b
9,What is the primary function of a diode?,a: To amplify electrical signals.; b: To allow current flow in only one direction.; c: To store electrical energy.; d: To generate electricity.,b
10,What is the basis of a diode?,a: A p-type material.; b: An n-type material.; c: A p–n junction.; d: A conductor.,c
11,What happens when a diode is forward biased?,"a: Current is blocked.; b: Electrons and holes cross the junction, allowing current flow.; c: The diode becomes an insulator.; d: The diode generates electricity.",b
12,What happens when a diode is reverse biased?,a: Current flows freely.; b: The junction blocks current (except for a small leakage).; c: The diode emits light.; d: The diode becomes a conductor.,b
13,What is rectification?,a: Amplifying electrical signals.; b: Converting AC to DC.; c: Storing electrical energy.; d: Generating electricity.,b
14,What is an LED?,a: A diode that blocks current.; b: A light-emitting diode.; c: A diode used for voltage regulation.; d: A diode used for light detection.,b
15,What is a Zener diode used for?,a: Light detection.; b: Voltage regulation.; c: Rectification.; d: Amplification.,b
16,What is a photodiode used for?,a: Voltage regulation.; b: Light detection.; c: Rectification.; d: Amplification.,b
17,Which of the following is NOT a common semiconductor?,a: Silicon; b: Germanium; c: Copper; d: Gallium Arsenide,c
